https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2Rwa2eD ,What is the deed provided with which a person is poor but generous,Katamat karma yena samanvāgataḥ pudgalo daridro bhavati tyāgavān
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Someone gives many a gift here (but) to animals and to those without virtue who do not live the spiritual life,Ihaikatyena pudgalena bahu dānaṁ dattam bhavati tiryag-gateṣu manuṣyeṣu ca duḥśīleṣv abrahmacāriṣu
https//bitly/2Rwa2eD ,Again and again he repeats his generosity,Punaḥ punas tyāga-cittam abhyastam
https//bitly/2Rwa2eD ,When he is reborn amongst humans he is poor but because of repeating that gift he is generous,Sa yadā manuṣyeṣūpapadyate daridro bhavati tyāgavān tena dānābhyāsena
https//bitly/2Rwa2eD ,Whoever gives a gift into the bowls (of those without virtue) because of that becomes poor,Yat tu tenāpātra-bhūteṣu dānaṁ dattaṁ tena daridraḥ
https//bitly/2Rwa2eD ,Just as was explained in the origin story of the weaver in the Discipline there in Śrāvastī ,Yathā Śrāvastyāṁ tatra Vinaye tantra-vāyasya nidānam varṇayanti
https//bitly/2Rwa2eD ,He was generous but poor,Sa tyāgavān daridraś ca
https//bitly/2Rwa2eD ,Again and again he had the thought of generosity,Punaḥ punas tyāga-cittam abhyastam
https//bitly/2Rwa2eD ,This is the deed provided with which a person is poor but generous,Idaṁ karma yena samanvāgataḥ pudgalo daridro bhavati tyāgavān
https//bitly/2Rwa2eD ,What is the deed provided with which a person is well off and generous,Katamat karma yena samanvāgataḥ pudgala āḍhyo bhavati tyāgavān
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Someone gives many a gift here into the bowls of those are virtuous,Ihaikatyena pudgalena bahu dānaṁ dattam bhavati śīlavatsu pātra-bhūteṣu
https//bitly/2Rwa2eD ,and he repeats the generous practice again and again,punaḥ punas tyāga-cittam abhyastam bhavati
https//bitly/2Rwa2eD ,Through that deed when he is reborn amongst humans,Sa tena karmaṇā yadā manuṣyeṣūpapadyate
https//bitly/2Rwa2eD ,he is reborn into a family which is well off having great wealth great riches,āḍhyeṣu kuleṣūpapadyate mahā-dhaneṣu mahā-bhogeṣu
https//bitly/2Rwa2eD ,And because he repeated that gift again and again he became generous,Yat tu tena punaḥ punas tyāgacittam abhyastaṁ tena tyāgavān bhavati
https//bitly/2Rwa2eD ,Just as Anāthapiṇḍada it seems dedicated the Jetavana in the time of the Perfect Sambuddha Krakucchanda  and had a monastery built there,Yathānāthapiṇḍadena kila Krakucchande Samyak-saṁbuddhe Jetavanaṁ niryātitam vihāraś ca kāritaḥ
https//bitly/2Rwa2eD ,Also in this way (in the times of) the Perfect Buddhas Kanakamuna Kāśyapa and Sarvārthasiddha,Evaṁ Kanakamunau Samyak-saṁbuddhe Kāśyape Sarvārthasiddhe ca
https//bitly/2Rwa2eD ,And again for Maitreya he will dedicate it by covering it with gold,Bhūyaś ca Maitreyasya suvarṇāstīrṇaṁ niryātayiṣyati
https//bitly/2Rwa2eD ,This is the deed provided with which a person is well off and generous,Idaṁ karma yena samanvāgataḥ pudgala āḍhyo bhavati tyāgavān
https//bitly/2Rwa2eD ,For which person is life exhausted but not his deeds,Katamasya pudgalasyāyuḥ kṣīṇaṁ na karma
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person who falling from hell is reborn in hell,Yaḥ pudgalo narakāc cyuto narakeṣūpapadyate
https//bitly/2Rwa2eD ,falling from the animal realm is reborn in the animal realm,tiryagbhyaś cyutas tiryakṣūpapadyate
https//bitly/2Rwa2eD ,falling from the Yama world is reborn in the Yama world,Yama-lokāc cyuto Yama-loke upapadyate
https//bitly/2Rwa2eD ,falling from the gods is reborn amongst the gods,devebhyaś cyuto deveṣūpapadyate
https//bitly/2Rwa2eD ,Just as with the brahmin Varṣākāra who died and was reborn again and again as a monkey ,Yathā Varṣākārasya brāhmaṇasya punaḥ punaḥ kāla-gatasya markaṭopapattiḥ
https//bitly/2Rwa2eD ,Just as with the Kashmir householder spoken about previously who was reborn again and again as a bull ,Yathā Kāśmīrāyām pūrvoktasya gha-pateḥ punaḥ punaḥ paśūpapattiḥ
https//bitly/2Rwa2eD ,Just as in Śrāvastī there was a certain poor landholder who died,Yathā ca Śrāvastyāṁ kaścid daridraḥ kuṭumbī kāla-gataḥ
https//bitly/2Rwa2eD ,In his doorway stood a bull with a wound on his shoulder,Tasya gha-dvāre balī-vardo vraṇī-bhūtena skandhena tiṣṭhati
https//bitly/2Rwa2eD ,That landholder’s mind was attached to his home and he was reborn as a worm on the shoulder of that bull,Sa gha āsakta-cittaḥ kuṭumbī tasya balī-vardasya skandhe kmiḥ pratyājātaḥ
https//bitly/2Rwa2eD ,The moment he was reborn he was eaten by a crow,Upapanna-mātraś ca kākena bhakṣitaḥ
https//bitly/2Rwa2eD ,Again he was reborn as a worm right there,Punas tatraiva kmiḥ pratyājātaḥ
https//bitly/2Rwa2eD ,thus it happened that he died seven times in one day,sa evaṁ sapta-ktva eka-divasena kāla-gataḥ
https//bitly/2Rwa2eD ,The moment he was reborn he was eaten by a crow,Upapanna-mātraś ca kākena bhakṣitaḥ
https//bitly/2Rwa2eD ,Just as the noble Mahāmaudgalyāyana while roaming for alms food in Magadha arrived at a certain home,Yathā cārya-Mahāmaudgalyāyano Magadheṣu bhaikṣyam paryaṭamānonyatama-gha-dvāram anuprāptaḥ
https//bitly/2Rwa2eD ,In that home the householder together with his wife were taking their meal consisting of fish and meat,Tasmiṁś ca ghe gha-patiḥ patnī-sahito matsya-māṁsa-prakāreṇa bhojanam bhuṅkte
https//bitly/2Rwa2eD ,He held his son on his lap and a black bitch stood in front of him,Putreṇa paryaṅka-gatena kṣṇā cāsya kukkurī puraḥ sthitā
https//bitly/2Rwa2eD ,and he cast fish bones at her,sa tasya matsyā sthīni kṣipati
https//bitly/2Rwa2eD ,Then the householder having seen Mahāmaudgalyāyana said,Atha sa gha-patir Mahāmaudgalyāyanaṁ dṣṭvāha
https//bitly/2Rwa2eD ,“Go away noble sir there is no one here who will give you alms”,“Gamyatām ārya nāsti kāścid atra yo bhikṣāṁ dāsyati”
https//bitly/2Rwa2eD ,He went away,Sa khalu samprasthitaḥ
https//bitly/2Rwa2eD ,At that doorway were some wise men who had come from another country,Taśmiṁś ca gha-dvāre deśāntarābhyāgatāḥ puruṣā vidvāṁsaḥ
https//bitly/2Rwa2eD ,and having seen that they became full of wonder (and said),pūrva-sthitāḥ te taṁ dṣṭvā vismayam prāptāḥ
https//bitly/2Rwa2eD ,“Alas it is amazing this one is known as the one with foremost spiritual powers,“Aho āścaryam ayaṁ nāma ddhi-matām agryaḥ
https//bitly/2Rwa2eD ,who tamed the two nāga-kings Nanda and Upananda,yena Nandopanandau nāga-rājānau vinītau
https//bitly/2Rwa2eD ,who with his left toe shook the Vaijayanta palace ,Vaijayantaś ca prāsādo vāma-pādāṅguṣṭhena kampitaḥ
https//bitly/2Rwa2eD ,who caused Śakra to wonder at how he crossed the three thousand world system in the blink of an eye,Śakro vismāpitaḥ tri-sāhasraṁ loka-dhātuṁ nimeṣāntara-cārī
https//bitly/2Rwa2eD ,he has surely returned without alms food rejected”,sa nāma bhikṣām adattvā visarjitaḥ”
https//bitly/2Rwa2eD ,Then the elder to stir their spiritual anxiety said,Atha sthaviras teṣāṁ saṁvejanārtham āha
https//bitly/2Rwa2eD ,“Dears this is not amazing” ,“Vatsa naitad āścaryam”
https//bitly/2Rwa2eD ,The men said,Puruṣā ūcuḥ
https//bitly/2Rwa2eD ,“Then what else is amazing and a reason for wonder”,“Atha kim anyad āścaryaṁ vismaya-kāraṇam”
https//bitly/2Rwa2eD ,He said,Sa uvāca
https//bitly/2Rwa2eD ,“This householder taking his meal consisting of fish and meat,“Ya eṣa gha-patir matsya-māṁsa-prakārair bhojanaṁ bhuṅkte
https//bitly/2Rwa2eD ,that fish is the householder’s father,eṣa matsyaḥ asya gha-pateḥ pitā
https//bitly/2Rwa2eD ,When he was in this place at the back of the house stood a pond from which he caught  fish for eating,Tena yā eṣāsya ghasya pṣṭhataḥ puṣkariṇī ataḥ prabhūta-matsyān uddhtyoddhtya bhakṣitāḥ
https//bitly/2Rwa2eD ,When he died he was reborn as a fish right there,Sa kāla-gatotraiva matsyaḥ pratyājātaḥ
https//bitly/2Rwa2eD ,He was repeatedly caught and eaten,Sa eṣonekaśa uddhtyoddhtya bhakṣyate
https//bitly/2Rwa2eD ,And right there again and again he is reborn,Atraiva ca bhūyo bhūya upapadyate
https//bitly/2Rwa2eD ,Also this bitch is the householder’s mother,Yāpy eṣā kukkurī asyaiva gha-pater mātā
https//bitly/2Rwa2eD ,Because of her greed and hatred she never gave any gifts,Etayā lobha-doṣeṇa na kiṁcid dānaṁ dattam
https//bitly/2Rwa2eD ,didn’t practice virtue and protected her whole wealth for her family (alone),na ca śīlaṁ sevitam kevalaṁ kula-vaṁśārthaṁ dravyam paripālitam
https//bitly/2Rwa2eD ,Because her mind was attached to her home when she died she was reborn amongst the bitches,Sātraiva ghe āsakta-cittā kāla-gatā kukkurīṣu pratyājātā
https//bitly/2Rwa2eD ,Again and again she died and was reborn right here,Kāla-gatā bhūyo bhūyotraivopapadyate
https//bitly/2Rwa2eD ,All night she roams the house on all sides and prevents any entrance,Sarvāṁ ca rātrīṁ ghaṁ samantāt paryaṭati mātra kaścit praviśed iti
https//bitly/2Rwa2eD ,And the son he holds on his lap was this woman’s secret lover,Atha yas tv eṣa putraḥ paryaṅke ktaḥ eṣosyā eva striyāḥ pracchanna-bhartā
https//bitly/2Rwa2eD ,He heard from another about his wife This your wife has become attached to another man’,Anena ca gha-patinā śrutam Eṣā te patnī para-puruṣa-vyāsaktā jāteti’
https//bitly/2Rwa2eD ,The householder under the pretext of a journey to another village departed from the home,Sa eṣa gha-patir grāmāntara gamana-vyapadeśena ghān niṣkrāntaḥ
https//bitly/2Rwa2eD ,His wife slept with the other man,Eṣāpi strī para-puruṣeṇa saha śayitā
https//bitly/2Rwa2eD ,At night the householder came back and killed the man,Anena gha-patinā rātrāv āgamya puruṣo ghātitaḥ
https//bitly/2Rwa2eD ,(The man’s) mind being attached to the woman by the bonds of love he was reborn in her womb,Sosyām eva striyām āsakta-cittas tenaiva snehānubandhena kukṣav upapannaḥ
https//bitly/2Rwa2eD ,See dears it is the father’s flesh he now eats,Paśya vatsa yaḥ pitā caiva tasya sa maṁsāni bhakṣayati
https//bitly/2Rwa2eD ,His mother that he was born from who gives the sharp fish bones,Yā mātā janitrī tasyā matsya-kaṇtakāsthikāni dadāti
https//bitly/2Rwa2eD ,It is his enemy whom he killed in anger who was with his wife whom he now carries in his lap,Yaś ca śatruḥ kruddhena māritaḥ pāra-dārikaḥ tam paryaṅkena dhārayati
https//bitly/2Rwa2eD ,This is the fault in saṁsāra you should be wearied by it,Eṣa saṁsāra-doṣo nirvedaḥ kāryaḥ
https//bitly/2Rwa2eD ,This is an amazing thing here”,Idam atrāścaryakāraṇam”
https//bitly/2Rwa2eD ,Then the monk Mahāmaudgalyāyana for the benefit of all,Atha sa bhikṣur Mahāmaudgalyāyana etad evārthaṁ sarvam
https//bitly/2Rwa2eD ,summed it up in a verse for the spiritual anxiety of future generations,paścima-janatā-saṁvejanārthaṁ ślokena saṁghītavān
https//bitly/2Rwa2eD ,Like this he spoke,Yathāha
https//bitly/2Rwa2eD ,“He eats his father’s flesh he threw sharp bones to his mother,“Pitur maṁsāni khādate mātuḥ kṣipati kaṇṭakān 
https//bitly/2Rwa2eD ,he nourishes his wife’s lover the world is covered by delusion and blindness”,bhāryā jāraṁ ca poṣeti loko moha-tamo-vtaḥ”
https//bitly/2Rwa2eD ,This is the person whose life is exhausted but not his deeds,Ayam pudgalo yasyāyuḥ kṣīṇaṁ na karma
https//bitly/2Rwa2eD ,For which person are deeds exhausted but not his life,Katamasya pudgalasya karma kṣīṇaṁ nāyuḥ
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person is happy at first and later becomes unhappy,Yaḥ pūrvaṁ sukhito bhūtvā paścād duḥkhito bhavati
https//bitly/2Rwa2eD ,(or) he who is unhappy at first and later becomes happy,pūrvaṁ yo duḥkhito bhūtvā paścāt sukhito bhavati
https//bitly/2Rwa2eD ,For this person deeds are exhausted but not his life,Asya pudgalasya karma kṣīṇaṁ nāyuḥ
https//bitly/2Rwa2eD ,For which person are deeds exhausted and his life,Katamasya pudgalasya karma kṣīṇam āyuś ca
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person falling away from hell is reborn amongst animals,Yaḥ pudgalo narakāc cyutas tiryakṣūpapadyate
https//bitly/2Rwa2eD ,falling away from animals is reborn in the Yama world,tiryagbhyaś cyuto Yama-loke upapadyate
https//bitly/2Rwa2eD ,falling away from the Yama world is reborn amongst humans,Yama-lokāc cyuto manuṣyeṣūpapadyate
https//bitly/2Rwa2eD ,falling away from humans is reborn amongst the gods,tataś cyuto deveṣūpapadyate
https//bitly/2Rwa2eD ,Just as in Śrāvastī a merchant’s son went to a park,Yathā Śrāvastyāṁ vaṇik-putra udyānaṁ gataḥ
https//bitly/2Rwa2eD ,and climbed an Aśoka tree at the request of his wife to pick flowers ,puṣpa-hetoḥ patnī-vacanenāśoka-vkṣam ārūḍhaḥ
https//bitly/2Rwa2eD ,The branch of that tree broke and he fell onto a flat stone and died,Sā ca vkṣa-śākhā viśīrṇā sa pāṣāṇa-śilāyām patitaḥ kāla-gataḥ
https//bitly/2Rwa2eD ,There a great crowd of people cried out,Tatra mahā-jana-kāyo rudati
https//bitly/2Rwa2eD ,Then the monks went in the middle of the day and having seen this anxiously reported it to the Fortunate One (saying),Atha bhikṣavo divā-vihāraṁ gatāḥ taṁ dṣṭvā saṁvignā Bhagavato nivedayanti
https//bitly/2Rwa2eD ,“Fortunate One alas impermanence,“Bhagavann aho anityatā
https//bitly/2Rwa2eD ,Today in the park a young son of a householder who had not (yet) enjoyed his riches fell from an Aśoka tree and died,Atrodyāne gha-pati-putro bālobhukta-bhogośoka-vkṣāt patitaḥ kāla-gatah
https//bitly/2Rwa2eD ,In that place a great crowd of people have gathered and a sound like that in the Screaming hell is heard”,Tatra mahā-jana-kāyaḥ saṁnipatitaḥ Raurava-sadśaś ca śabdaḥ śrūyate”
https//bitly/2Rwa2eD ,The Fortunate One said,Bhagavān āha
https//bitly/2Rwa2eD ,“Monastics previously this son of a householder,“Eṣa eva bhikṣavaḥ gha-pati-putraḥ pūrvam
https//bitly/2Rwa2eD ,was reborn in the great ocean in a certain nāga family,mahā-samudre ’nyatarasmiṁ nāga-kule upapannaḥ
https//bitly/2Rwa2eD ,He had just been born there and was playing with the women,Sa tatra jāta-mātra eva strī-sahitaḥ krīḍamāno
https//bitly/2Rwa2eD ,when he was caught by a garuḍa and eaten,garuḍenoddhtya bhakṣitaḥ
https//bitly/2Rwa2eD ,Those nāga maidens who cried there are here the women who cry,Tatra nāga-kanyā rudanti iha striyo rudanti
https//bitly/2Rwa2eD ,And he who climbed the tree at the request of the woman was angry at her (thinking),Sa ca yasyāḥ striyā vacanenāśoka-vkṣam ārūḍhas tasyopary āghātaṁ ktavān
https//bitly/2Rwa2eD ,It is her fault I climbed the tree’,Asyā doṣeṇāhaṁ vkṣam ārūḍhaḥ’
https//bitly/2Rwa2eD ,Dying while angry he was reborn in hell,Kruddhaḥ kāla-gato narakeṣūpapannaḥ
https//bitly/2Rwa2eD ,For this person deeds are exhausted and his life,Asya pudgalasya karma kṣīṇam āyuś ca
https//bitly/2Rwa2eD ,For which person are merits exhausted and his life,Katamasya pudgalasya puṇyāni ca kṣīṇāni āyuś ca
https//bitly/2Rwa2eD ,It is said ,Ucyate
https//bitly/2Rwa2eD ,Just as with the householder Hilliśālī ,Yathā sa eva Hilliśālī gha-patiḥ
https//bitly/2Rwa2eD ,As the Fortunate One said,Yathā Bhagavan āha
https//bitly/2Rwa2eD ,“Again great king that householder’s good deed is exhausted for him and he has made no other (merit),“Tasya punar mahā-rāja gha-pates tac ca kuśalaṁ karma parikṣīṇam anyac ca na ktam
https//bitly/2Rwa2eD ,Today is the first night he is being cooked in the Screaming hell”,Sodya prathama-rātrīṁ Raurave pacyate”
https//bitly/2Rwa2eD ,Just as with king Prasenajit who fallen from royalty arrived in Rājagha,Yathā rājā Prasenajid rājyād bhraṣṭo Rājagham anuprāptaḥ
https//bitly/2Rwa2eD ,There he threw old radish leaves into his mouth eating what had been thrown at him by a man,Sa tatra purāṇa-mūlaka-pattrāṇi mukhe prakṣipya khādan puruṣeṇākṣiptaḥ
https//bitly/2Rwa2eD ,Then with his mouth full of dirt he came to death,Pāṁśu-pūrṇena  mukhenātha maraṇam mtaḥ
https//bitly/2Rwa2eD ,This was a result of the alms food he had previously given an Independent Buddha ,Pratyeka-buddha-pūrvas tasya piṇḍa-pātasya vipākena
https//bitly/2Rwa2eD ,This is the person whose life is exhausted and his merits,Ayam pudgalo yasyāyuś ca kṣīṇam puṇyāni ca
https//bitly/2Rwa2eD ,For which person is life not exhausted nor his deeds but (some) defilements are exhausted,Katamasya pudgalasya nāyuḥ kṣīṇaṁ  karma api tu kleśāḥ kṣīṇāḥ
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,For the stream-enterer the once-returner the non-returner the Independent Buddha,Śrotaāpannasya sakdāgāminaḥ anāgāminaḥ Pratyeka-buddhasya
https//bitly/2Rwa2eD ,This is the person whose life is not exhausted nor his deeds but (some) defilements are exhausted,Ayam pudgalo yasya nāyuḥ kṣīṇaṁ  karma api tu kleśāḥ kṣīṇāḥ
https//bitly/2Rwa2eD ,Which is the person who is happy in body but not in mind,Katamaḥ pudgalaḥ kāyena sukhī na cittena
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,An ordinary person who has done merit is happy in body but not in mind,Kta-puṇyaḥ pthag-janaḥ kāyena sukhī na cittena
https//bitly/2Rwa2eD ,Like the very wealthy brahmin householders and king Māndhātā ,Yathā mahā-dhana-brāhmaṇa-gha-patayo rājā ca Māndhātā
https//bitly/2Rwa2eD ,This is the person who is happy in body but not in mind,Ayam pudgalaḥ kāyena sukhī na cittena
https//bitly/2Rwa2eD ,Which is the person who is happy in mind but not in body,Katamaḥ pudgalaś cittena sukhī na kāyena
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whoever is a worthy one (but is) without merit is happy in mind but not in body,Yathārhann apuṇyaḥ cittena sukhī na kāyena
https//bitly/2Rwa2eD ,Just as the noble Soṇottara it seems in a previous life,Yathārya Śoṇottaras tena kila pūrva-janmani
https//bitly/2Rwa2eD ,had given cow-dung mixed with itching powder for bathing to an Independent Buddha,Pratyeka-buddhasya snāyato gomaya-piṇḍakaḥ kapikacchu-miśraḥ snānārthaṁ dattaḥ
https//bitly/2Rwa2eD ,Because of the result of that deed his body was destroyed by leprosy,Tena karma vipākena kuṣṭhena śarīraṁ viśīryati
https//bitly/2Rwa2eD ,Therefore the verse says,Tathā hi gāthā bhāṣitā
https//bitly/2Rwa2eD ,“Deeds are surely the strongest because deeds are (hard) like diamonds,“Karmāṇi nūnam balavattarāṇi karmabhyo vajra-kalpebhyaḥ 
https//bitly/2Rwa2eD ,wherever I come under their control I undergo the suffering of deeds”,yatra vaśī-bhūtoham anubhavāmi duḥkhāni karmāṇi”
https//bitly/2Rwa2eD ,Just as with Kāśyapa the Late ,Yathā ca Jaṅghā-Kāśyapaḥ
https//bitly/2Rwa2eD ,It seems in Vārāṇasī he had replied to an Independent Buddha,Tena kila Vārāṇasyām Pratyeka-buddhasya pratiśrutam
https//bitly/2Rwa2eD ,“I will give alms food”,“Bhaktaṁ dāśyāmīti”
https//bitly/2Rwa2eD ,After a great deal of effort he gave alms food near the end of the time (for giving),Sa tasya mahatā pariśrameṇa kālātikramaṇe āsanne bhaktaṁ dattavān
https//bitly/2Rwa2eD ,Through this deed having become free from lust in a later life,Sa tena karmaṇā paścime janmani vīta-rāgopi bhūtvā
https//bitly/2Rwa2eD ,he roamed in the morning for alms,pūrvāhṇe piṇḍapātam paryaṭati
https//bitly/2Rwa2eD ,Near the end of the time (for giving) he received some alms food,Kālātikramaṇe āsanne kathaṁcid bhaktaṁ labhate
https//bitly/2Rwa2eD ,Through this he was called Kāśyapa the Late,Tathāsya Jaṅghā-Kāśyapa eva nāma
https//bitly/2Rwa2eD ,This is the person who is happy in mind but not in body,Ayam pudgalaś cittena sukhī na kāyena
https//bitly/2Rwa2eD ,Which is the person who is happy in body and in mind,Katamaḥ pudgalaḥ kāyena sukhī cittena ca
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,The worthy one who has destroyed the pollutants and made merit,Arhan kṣīṇāsravaḥ kta-puṇyaḥ
https//bitly/2Rwa2eD ,Just as with Bakula  the son of king Dharmayaśa of Kashmir,Yathā Kaśmīra-rājā Dharmayaśaḥ-putro Bakulaḥ
https//bitly/2Rwa2eD ,As in his lion’s roar,Tathā hy asya siṁha-nādaḥ
https//bitly/2Rwa2eD ,“It is eighty years venerables since my going-forth and I have had no sickness previously,“Aśītir me āyuṣmanto varṣāṇi pravrajitasya na kadācid vyādhir bhūta-pūrvaḥ
https//bitly/2Rwa2eD ,not even a simple headache”,antataḥ śirortimātram api”
https//bitly/2Rwa2eD ,Having become a perfume seller in Vārāṇasī it seems,Tena kila Vārāṇasyāṁ gāndhika-baṇijā bhūtvā
https//bitly/2Rwa2eD ,he had invited the Perfect Sambuddha Kakucchanda together with his disciples with medicine to help when sick,Kakucchandaḥ Samyak-sambuddhaḥ saśrāvaka-saṁgho glāna-bhaiṣajyenopanimantrito
https//bitly/2Rwa2eD ,and some of the Arahat monastics received myrobalan,bhikṣuṇā cārhatā ekā harītakī ghītā
https//bitly/2Rwa2eD ,Through this deed the result was he was never sick,Sa tasya karmaṇo vipākena nirābādhaḥ
https//bitly/2Rwa2eD ,“Health is the supreme gain”  said the Fortunate One,“Ārogya-paramā lābhā” uktā Bhagavatā
https//bitly/2Rwa2eD ,Just as was said about the noble Aniruddha ,Yathā cāryāniruddhaḥ kathayati
https//bitly/2Rwa2eD ,As a result of his (giving) alms food  venerables,Tasya khalv āyuṣmantaḥ piṇḍapātasya vipākena
https//bitly/2Rwa2eD ,seven times he was reborn amongst the excellent chapter of gods of the Thirty-Three,sapta-ktvaḥ praṇīte Trayastriṁśa-deva-nikāye upapannaḥ
https//bitly/2Rwa2eD ,and seven times he ruled over men,sapta-ktvo manuṣyeṣu rājyaṁ kāritam
https//bitly/2Rwa2eD ,As a result of his (giving) alms food he received the fruit of Arahatship,Tasyaiva ca piṇḍapātasya vipākenārhatva-phala-lābhī
https//bitly/2Rwa2eD ,and he received robes alms-food dwellings and requisites of medicine for support when sick,cīvara-piṇḍapāta-śayanāsana-glāna-pratyaya-bhaiṣajya-pariṣkārāṇāṁ lābhī
https//bitly/2Rwa2eD ,So through his giving to five-hundred monastics together with the Fortunate One in a time of famine,Tathā hi tasya Bhagavatā durbhikṣe pañca bhikṣu-śatāni dattāni
https//bitly/2Rwa2eD ,the power of his merit was that all this endless and divine alms food manifested,tasya puṇyānubhāvena sarveṣāṁ divyam ananta-bhaktam prādur-bhavati
https//bitly/2Rwa2eD ,This is the person who is happy in body and in mind,Ayam pudgalaḥ kāyena sukhī cittena ca
https//bitly/2Rwa2eD ,Which is the person who is neither happy in mind nor in body,Katamaḥ pudgalo na kāyena sukhī na cittena ca
https//bitly/2Rwa2eD ,, 
https//bitly/2Rwa2eD ,An ordinary person who has not done anything meritorious with a family lineage fallen into oblivion,Akta-puṇyāḥ pthag-janā utsanna-kula-vaṁśā
https//bitly/2Rwa2eD ,being bereft of clothing food and drink who wanders amongst the houses,vastrānna-pāna-virahitāḥ paragheṣu hiṇḍanti
https//bitly/2Rwa2eD ,Because of that he is afflicted with sicknesses like leprosy tuberculosis consumption fever jaundice infirmity skin disease scab and so on,Tathā vyādhibhiḥ kuṣṭha-kṣaya-kāsa-jvara-pāṇḍu-roga-dadru-pāmādibhiḥ
https//bitly/2Rwa2eD ,and is missing hands and feet or has loss of eyesight,parigatā hasta-pāda-vikalāś cakṣur-vihīnāś ca
https//bitly/2Rwa2eD ,This is the person who is neither happy in mind nor in body,Ayam pudgalo na kāyena sukhī na cittena
https//bitly/2Rwa2eD ,What is the deed provided with which a person is reborn in the lower realms and is handsome and pleasant,Katamat karma yena samanvāgataḥ pudgalopāyeṣūpapannobhirūpo bhavati prāsādikaḥ
https//bitly/2Rwa2eD ,with an agreeable body agreeable skin delightful eyes and is good looking,snigdha-kāyaḥ snigdhac-chavir nayanābhirāmo darśanīyaḥ
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person who is endowed with lust (but) provided with a lack of virtue and is reborn in the lower realms,Yaḥ pudgalo rāgasamutthitena dauḥśīlyena samanvāgataḥ apāyeṣūpapadyate
https//bitly/2Rwa2eD ,including (being reborn as) a peacock a parrot a mynah a duck a ruddy shelduck,yathā mayūra-śuka-sārikā-kāraṇḍava-cakravāka-prabhtayaḥ
https//bitly/2Rwa2eD ,This is the deed provided with which a person is reborn in the lower realms and is handsome and pleasant,Idaṁ karma yena samanvāgataḥ pudgalo ’pāyeṣūpapanno ’bhirūpo bhavati prāsādikaḥ
https//bitly/2Rwa2eD ,with an agreeable body agreeable skin delightful eyes and is good looking,snigdha-kāyaḥ snigdhac-chavir nayanābhirāmo darśanīyaḥ
https//bitly/2Rwa2eD ,Herein what is the deed provided with which a person is reborn in the lower realms and is ugly with a harsh body and is unpleasant looking,Tatra katamat karma yena samanvāgataḥ pudgalo ’pāyeṣūpapanno durvarṇo bhavati rūkṣa-kāyo ghora-darśanaḥ
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person who is endowed with hate provided with a lack of virtue and is reborn in the lower realms,Yaḥ pudgalo dveṣa-samutthitena dauḥśīlyena samanvāgato ’pāyeṣūpapadyate
https//bitly/2Rwa2eD ,like (being reborn) as a lion a tiger a crow a hyena a cobra a preta a piśāca and so on,yathā siṁha-vyāghra-kāka-śgāla-kṣṇasarpa-preta-piśācādayaḥ
https//bitly/2Rwa2eD ,This is the deed  is reborn in the lower realms and is ugly with a harsh body and is unpleasant looking,Idaṁ karma yena   apāyeṣūpapanno durvarṇo bhavati rūkṣa-kāyo ghora-darśanaḥ
https//bitly/2Rwa2eD ,Herein what is the deed provided with which a person is reborn in the lower realms and is foul-smelling with faculties that are crooked and undeveloped,Tatra katamat karma yena samanvāgataḥ pudgalo ’pāyeṣūpapanno durgandho bhavati jihmendriyo ’vyaktendriyaḥ
https//bitly/2Rwa2eD ,It is said,Ucyate
https//bitly/2Rwa2eD ,Whatever person who is furnished with delusion and endowed with a lack of virtue and is reborn in the lower realms,Yaḥ pudgalo mohasamutthitena dauḥśīlyena samanvāgataḥ apāyeṣūpapadyate
